1,1,24.990
1,2,24.990
1,3,24.990
2,1,25.010
2,2,24.990
2,3,24.990
3,1,25.004
3,2,24.990
3,3,24.990
4,1,50.997
5,2,94.872
6,1,17.291
7,1,72.526
8,4,33.492
9,1,44.149
10,1,70.332
11,1,16.265
12,1,15.292
13,3,87.476
14,3,3.015
15,4,8.144
16,3,40.421
17,1,48.43
18,3,39.875
19,3,2.205
20,1,4.732
21,4,81.978
22,4,55.862
23,1,25.919
24,3,35.435
25,2,38.78
26,3,66.226
27,4,34.73
28,4,56.0
29,2,57.956
30,2,18.78
31,3,7.546
32,4,84.564
33,3,86.509
34,1,27.057
35,3,96.583
36,4,25.448
37,3,78.122
38,3,88.015
39,3,85.43
40,3,52.412
41,2,60.998
42,3,87.354
43,3,27.888
44,4,56.925
