Bouée 1,12,12,1
Bouée 2,30.9995629,53.4431223,1
Bouée 3,2.3694452,48.7282419,1
Bouée 4,29.4620887,46.8318267,1
Bouée 5,2.074954,49.039076,1
Bouée 6,36.8219462,-1.2920659,1
Bouée 7,17.1688525,51.6522585,1
Bouée 8,18.4728742,49.6197452,1
Bouée 9,3.1506645,46.9874505,1
Bouée 10,140.9588844,37.479652,1
Bouée 11,-1.2780726,53.6190091,1
Bouée 12,18.4483763,-33.9789129,1
Bouée 13,20.9131216,51.4617501,1
Bouée 14,17.0351289,52.55694,1
Bouée 15,110.044106,40.576319,1
Bouée 16,25.1872239,35.2834512,1
Bouée 17,11.9203062,58.3619916,1
Bouée 18,46.638308,41.603085,1
Bouée 19,-9.0573022,38.6627574,1
Bouée 20,112.390857,35.293048,1
Bouée 21,21.3375451,53.0155306,1
Bouée 22,-58.5321306,-34.6126135,1
Bouée 23,20.6793311,41.1735327,1
Bouée 24,50.8599404,62.5898079,1
Bouée 25,120.582633,29.988244,1
Bouée 26,125.77611,38.67028,1
Bouée 27,109.0869316,-7.0795248,1
Bouée 28,106.8488128,-6.1718076,1
Bouée 29,112.718192,-8.0914709,1
Bouée 30,16.81504,53.42049,1
Bouée 31,83.663731,46.013979,1
Bouée 32,4.4735386,8.5395253,1
Bouée 33,-84.0880839,22.1998606,1
Bouée 34,10.0219822,35.9329039,1
Bouée 35,124.3470114,10.0382093,1
Bouée 36,102.1287289,16.3763389,1
Bouée 37,102.801062,35.87616,1
Bouée 38,14.9774312,57.6734233,1
Bouée 39,-95.4830243,29.6237766,1
Bouée 40,27.96979,27.0568,1
Bouée 41,-27.2272259,38.6606921,1
Bouée 42,-48.6891129,-21.7414439,1
Bouée 43,112.4827889,-8.0770577,1
Bouée 44,6.1650769,49.1199699,1
Bouée 45,20.2318416,40.1063792,1
Bouée 46,111.3769,-6.9661,1
Bouée 47,33.7741195,-13.9626121,1
Bouée 48,2.16667,6.76667,1
Bouée 49,110.9134113,-7.0872117,1
Bouée 50,118.752842,34.542308,1
