1,'2019-11-01 14:37:30','2019-11-20 10:14:46','2019-08-25 06:48:39','2019-12-19 05:17:13',2.943,true,9,2
2,'2019-10-31 06:37:25','2019-12-10 20:39:58','2019-10-23 05:26:48','2019-11-13 23:02:28',28.736,false,4,1
3,'2019-10-17 13:53:27','2019-11-11 19:02:34','2019-09-08 18:28:18','2019-11-22 03:26:05',21.515,true,43,3
4,'2019-10-22 16:08:06','2019-12-15 04:38:12','2019-08-26 00:35:12','2019-11-07 07:57:08',35.361,false,35,1
5,'2019-10-27 11:47:16','2019-11-27 09:07:18','2019-09-16 20:04:51','2019-11-23 06:17:52',1.51,false,12,3
6,'2019-09-12 14:12:16','2019-12-14 12:24:12','2019-10-05 22:21:09','2019-12-06 12:07:31',1.43,true,32,2
7,'2019-08-25 00:11:48','2019-12-13 22:17:02','2019-11-02 21:57:53','2019-11-28 18:41:30',17.849,true,29,3
8,'2019-10-30 21:29:51','2019-12-05 07:53:35','2019-09-23 06:52:06','2019-11-21 04:35:40',13.103,true,42,3
9,'2019-10-09 07:24:33','2019-11-10 16:57:53','2019-09-24 12:01:46','2019-12-05 16:26:21',1.933,true,19,3
10,'2019-09-04 04:11:30','2019-11-10 05:01:03','2019-09-13 08:01:40','2019-12-18 08:11:51',23.401,true,38,1
11,'2019-09-02 21:12:04','2019-11-23 12:34:58','2019-09-03 23:11:06','2019-11-28 15:19:16',4.516,false,31,2
12,'2019-09-29 07:35:32','2019-11-14 01:55:57','2019-09-23 16:59:22','2019-12-06 19:32:44',31.84,false,41,3
13,'2019-09-11 15:47:57','2019-12-14 02:27:08','2019-10-06 03:55:26','2019-11-21 11:24:36',5.996,false,12,2
14,'2019-09-21 11:42:44','2019-11-18 09:19:40','2019-10-06 03:26:56','2019-12-17 20:32:43',3.865,false,48,1
15,'2019-09-19 22:14:42','2019-11-12 15:00:14','2019-10-11 05:14:58','2019-11-09 13:47:31',6.289,false,39,2
16,'2019-09-06 07:46:26','2019-12-06 00:19:37','2019-10-14 21:27:03','2019-11-07 21:56:50',49.625,false,1,2
