'2019-09-30 12:00:00','2019-09-30 12:30:00',91.945,91.889,1,1,true,'chemin/vers/le/fichier','Calcul enregistré 1',false
'2018-12-15 00:34:00','2019-09-09 05:09:48',92.742,75.812,3,2,false,'chemin/vers/le/fichier','Calcul enregistré 2',true
'2018-12-13 10:55:00','2018-11-04 02:19:32',20.765,63.999,1,1,true,'chemin/vers/le/fichier','Calcul enregistré 3',true
'2019-01-28 22:32:17','2019-02-07 01:27:19',96.597,63.818,3,2,false,'chemin/vers/le/fichier','Calcul enregistré 4',true
'2018-12-10 20:55:12','2018-11-24 05:13:58',81.411,62.603,3,1,true,'chemin/vers/le/fichier','Calcul enregistré 5',true
'2019-07-01 17:18:24','2018-11-23 09:47:46',52.016,2.382,2,2,false,'chemin/vers/le/fichier','Calcul enregistré 6',false
'2019-02-09 15:25:10','2019-03-20 14:39:20',31.501,6.59,3,1,false,'chemin/vers/le/fichier','Calcul enregistré 7',false
'2018-11-30 02:55:54','2019-01-05 04:12:11',96.608,84.626,2,1,false,'chemin/vers/le/fichier','Calcul enregistré 8',false
'2019-10-14 15:46:22','2018-10-23 06:25:03',22.129,69.679,1,1,true,'chemin/vers/le/fichier','Calcul enregistré 9',true
'2018-11-05 07:26:32','2018-11-19 02:49:24',96.246,75.542,1,3,false,'chemin/vers/le/fichier','Calcul enregistré 10',true
'2018-11-05 18:03:26','2018-10-29 03:54:50',9.817,13.241,2,2,true,'chemin/vers/le/fichier','Calcul enregistré 11',false
'2019-04-13 23:45:39','2019-08-10 09:27:55',36.381,72.3,3,2,true,'chemin/vers/le/fichier','Calcul enregistré 12',false
'2019-05-18 18:44:05','2019-08-18 11:18:50',90.511,2.694,1,3,true,'chemin/vers/le/fichier','Calcul enregistré 13',false
'2019-04-08 10:02:44','2019-07-11 15:31:16',10.713,72.22,3,1,true,'chemin/vers/le/fichier','Calcul enregistré 14',false
'2019-09-21 22:21:03','2019-03-08 11:26:59',50.212,28.181,3,1,false,'chemin/vers/le/fichier','Calcul enregistré 15',true
'2019-04-25 00:00:41','2019-01-09 12:05:47',69.561,9.907,1,2,false,'chemin/vers/le/fichier','Calcul enregistré 16',true
'2019-03-07 07:02:21','2019-08-29 01:21:49',34.674,44.24,3,2,true,'chemin/vers/le/fichier','Calcul enregistré 17',true
'2019-01-21 12:28:12','2019-08-09 12:33:24',59.709,51.862,2,2,true,'chemin/vers/le/fichier','Calcul enregistré 18',false
'2019-02-22 17:34:16','2019-02-14 11:30:15',89.946,21.24,3,1,false,'chemin/vers/le/fichier','Calcul enregistré 19',true
'2018-10-17 13:17:30','2018-12-31 08:52:21',30.599,54.068,3,1,false,'chemin/vers/le/fichier','Calcul enregistré 20',false
'2019-07-05 06:48:59','2018-11-30 13:05:29',36.509,43.318,2,1,true,'chemin/vers/le/fichier','Calcul enregistré 21',true
'2019-09-20 10:05:50','2019-05-13 15:10:12',79.646,66.85,3,2,false,'chemin/vers/le/fichier','Calcul enregistré 22',false
'2019-09-07 19:31:05','2019-06-21 04:52:07',45.683,87.651,3,2,false,'chemin/vers/le/fichier','Calcul enregistré 23',true
'2019-03-05 03:57:03','2019-01-05 11:57:58',37.78,14.763,2,2,false,'chemin/vers/le/fichier','Calcul enregistré 24',true
'2019-02-15 02:52:45','2019-01-13 23:44:37',79.717,13.372,1,2,false,'chemin/vers/le/fichier','Calcul enregistré 25',false
'2019-04-25 21:08:31','2019-02-25 07:13:45',39.661,50.791,2,2,false,'chemin/vers/le/fichier','Calcul enregistré 26',true
'2019-05-31 18:51:14','2019-09-23 05:35:18',97.18,12.371,1,3,true,'chemin/vers/le/fichier','Calcul enregistré 27',false
'2019-09-25 06:45:43','2019-08-17 07:39:59',28.437,56.082,3,1,true,'chemin/vers/le/fichier','Calcul enregistré 28',true
'2019-03-20 03:57:18','2019-05-13 03:21:49',75.246,17.545,2,1,false,'chemin/vers/le/fichier','Calcul enregistré 29',true
'2019-02-03 09:10:20','2019-07-12 15:43:33',78.354,86.003,2,1,true,'chemin/vers/le/fichier','Calcul enregistré 30',true
'2019-07-02 23:02:34','2019-07-10 00:47:29',92.689,7.631,2,2,true,'chemin/vers/le/fichier','Calcul enregistré 31',false
'2018-11-17 21:34:24','2019-09-15 21:12:22',34.847,36.688,2,1,false,'chemin/vers/le/fichier','Calcul enregistré 32',true
'2019-06-14 19:47:55','2019-05-28 17:01:29',51.608,57.979,3,1,true,'chemin/vers/le/fichier','Calcul enregistré 33',false
'2018-11-06 23:22:26','2019-04-20 04:04:04',1.454,39.833,3,1,false,'chemin/vers/le/fichier','Calcul enregistré 34',false
'2018-12-20 03:31:15','2018-11-15 12:56:09',13.074,11.977,3,2,true,'chemin/vers/le/fichier','Calcul enregistré 35',false
'2019-02-05 16:22:40','2019-06-20 01:08:13',17.466,61.869,2,1,true,'chemin/vers/le/fichier','Calcul enregistré 36',false
'2019-05-05 03:32:30','2019-02-20 01:52:24',68.518,93.367,1,1,false,'chemin/vers/le/fichier','Calcul enregistré 37',true
'2019-01-21 16:26:41','2019-06-03 04:28:38',54.059,92.642,2,1,false,'chemin/vers/le/fichier','Calcul enregistré 38',true
'2019-01-12 10:23:37','2019-01-03 02:25:16',27.984,29.071,2,2,false,'chemin/vers/le/fichier','Calcul enregistré 39',false
'2019-10-07 21:51:34','2018-12-26 00:39:07',55.349,72.75,1,1,true,'chemin/vers/le/fichier','Calcul enregistré 40',false
'2019-01-11 16:09:20','2019-04-23 06:00:56',88.445,69.911,1,1,true,'chemin/vers/le/fichier','Calcul enregistré 41',true
'2019-05-01 03:23:40','2019-04-26 02:48:55',29.338,61.329,2,1,false,'chemin/vers/le/fichier','Calcul enregistré 42',false
'2019-09-10 23:53:56','2018-12-02 14:19:55',23.935,21.417,1,1,false,'chemin/vers/le/fichier','Calcul enregistré 43',true
'2018-10-21 23:54:25','2019-10-04 19:41:01',73.218,9.313,1,1,true,'chemin/vers/le/fichier','Calcul enregistré 44',false
'2018-11-21 02:32:35','2019-09-18 14:46:59',80.461,77.66,1,3,true,'chemin/vers/le/fichier','Calcul enregistré 45',false
'2018-10-21 19:12:27','2019-02-10 05:38:28',42.049,69.985,2,1,false,'chemin/vers/le/fichier','Calcul enregistré 46',false
'2019-08-15 21:16:45','2019-06-08 20:23:29',59.273,87.869,1,1,false,'chemin/vers/le/fichier','Calcul enregistré 47',false
'2019-09-09 16:48:05','2018-12-25 06:04:50',91.067,49.971,1,3,true,'chemin/vers/le/fichier','Calcul enregistré 48',false
'2018-10-24 01:01:02','2019-03-16 21:58:28',37.081,19.293,3,1,true,'chemin/vers/le/fichier','Calcul enregistré 49',true
'2019-04-10 08:05:34','2019-05-01 16:24:59',35.645,17.855,3,1,true,'chemin/vers/le/fichier','Calcul enregistré 50',false
